Canada, Exposure to risk (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1960-1969       56            809633.26       835654.25      1645287.51
1960-1969       57            776923.84       800746.54      1577670.38
1960-1969       58            747111.28       766307.00      1513418.28
1960-1969       59            717700.08       732961.38      1450661.46
1960-1969       60            691830.51       701139.64      1392970.15
1960-1969       61            667632.82       669927.27      1337560.09
1960-1969       62            644612.47       639589.88      1284202.35
1960-1969       63            622356.91       610601.90      1232958.81
1960-1969       64            600630.46       582383.05      1183013.51
1960-1969       65            579150.03       555112.55      1134262.58
1960-1969       66            558276.63       528797.57      1087074.20
1960-1969       67            538116.16       503660.33      1041776.49
1960-1969       68            518801.68       480214.78       999016.45
1960-1969       69            500175.03       457875.97       958051.00
1960-1969       70            480722.69       436404.56       917127.25
1960-1969       71            463227.82       416652.39       879880.21
1960-1969       72            443759.74       395930.02       839689.76
1960-1969       73            421321.18       373753.81       795074.99
1960-1969       74            396243.23       350349.33       746592.56
1960-1969       75            369739.99       325798.11       695538.09
1960-1969       76            341600.46       300861.95       642462.41
1960-1969       77            313252.29       275644.08       588896.37
1960-1969       78            285349.58       250205.12       535554.70
1960-1969       79            258021.82       224388.75       482410.57
1960-1969       80            245669.45       206015.62       451685.06
1960-1969       81            219171.64       181423.38       400595.03
1960-1969       82            193860.96       157932.09       351793.05
1960-1969       83            169297.10       135489.93       304787.04
1960-1969       84            145346.61       113886.51       259233.12
1960-1969       85            123087.75        94135.30       217223.05
1960-1969       86            102724.25        76530.23       179254.48
1960-1969       87             84366.50        61153.94       145520.44
1960-1969       88             67944.57        47949.73       115894.30
1960-1969       89             53946.47        36973.18        90919.65
1960-1969       90             42187.82        27925.40        70113.21
1960-1969       91             32665.73        20863.05        53528.79
1960-1969       92             24808.87        15186.83        39995.70
1960-1969       93             18233.56        10765.71        28999.27
1960-1969       94             13086.23         7466.50        20552.73
1960-1969       95              9216.35         5053.91        14270.26
1960-1969       96              6345.30         3352.17         9697.47
1960-1969       97              4222.08         2206.58         6428.66
1960-1969       98              2761.66         1381.14         4142.80
1960-1969       99              1785.14          862.46         2647.60
1960-1969      100              1120.18          527.04         1647.22
1960-1969      101               677.20          330.59         1007.79
1960-1969      102               392.28          207.70          599.98
1960-1969      103               213.09          126.63          339.72
1960-1969      104               113.80           77.94          191.74
1960-1969      105                64.42           47.93          112.35
1960-1969      106                36.80           27.61           64.40
1960-1969      107                17.31           16.29           33.60
1960-1969      108                 7.48           10.02           17.49
1960-1969      109                 2.02            5.47            7.49
1960-1969      110+                0.00            7.61            7.61
1970-1979        0           1718554.10      1809144.64      3527698.74
1970-1979        1           1722305.61      1809498.60      3531804.21
1970-1979        2           1737118.05      1824450.40      3561568.45
1970-1979        3           1763136.97      1851403.80      3614540.76
1970-1979        4           1803998.76      1895590.97      3699589.74
1970-1979        5           1852672.64      1944875.68      3797548.32
1970-1979        6           1912285.68      2010572.02      3922857.70
1970-1979        7           1976536.95      2075548.61      4052085.56
1970-1979        8           2038427.51      2139227.90      4177655.41
1970-1979        9           2088564.99      2189654.99      4278219.98
1970-1979       10           2137166.07      2239602.25      4376768.32
1970-1979       11           2186393.51      2289503.65      4475897.16
1970-1979       12           2230679.49      2335249.52      4565929.01
1970-1979       13           2265971.57      2372188.44      4638160.01
1970-1979       14           2285340.46      2389991.84      4675332.31
1970-1979       15           2286891.38      2388882.07      4675773.45
1970-1979       16           2282064.86      2377564.78      4659629.65
1970-1979       17           2266990.79      2352571.18      4619561.97
